iter	RMSE
194	4.718945426
195	4.717434739
196	4.712997524
197	4.70687763
198	4.70012441
199	4.694342599
200	4.692970244
201	4.688866705
202	4.683892436
203	4.679531909
204	4.675086158
205	4.668135222
206	4.664401278
207	4.660521828
208	4.655899369
209	4.651746508
210	4.647066507
211	4.644746443
212	4.638357648
213	4.636599401
214	4.63251124
215	4.628957779
216	4.624285268
217	4.621325492
218	4.617881197
219	4.615039743
220	4.613545884
221	4.607072644
222	4.60545371
223	4.603626779
224	4.602575395
225	4.59893082
226	4.593899752
227	4.591453529
228	4.587860698
229	4.587638385
230	4.579480276
231	4.575865492
232	4.573150949
233	4.572433101
234	4.571113474
235	4.56488546
236	4.558653738
237	4.554307382
238	4.551910834
239	4.547102647
240	4.545917363
241	4.539609981
242	4.538810041
243	4.536969855
244	4.53440635
245	4.526569451
246	4.524217764
247	4.522362344
248	4.516637358
249	4.515645367
250	4.510411733
251	4.508256883
252	4.507431455
253	4.506531285
254	4.503505618
255	4.499610694
256	4.497320709
257	4.494528599
258	4.489002782
259	4.487385967
260	4.483813159
261	4.48305242
262	4.480708456
263	4.472624597
264	4.471883728
265	4.469366796
266	4.465356894
267	4.461024955
268	4.45858986
269	4.452913444
270	4.450845638
271	4.444517498
272	4.438164725
273	4.434637079
274	4.429342632
275	4.42714397
276	4.423251295
277	4.421167432
278	4.417453973
279	4.416115185
280	4.411863831
281	4.406778852
282	4.404795672
283	4.40078199
284	4.399180818
285	4.39630506
286	4.392782015
287	4.389559296
288	4.38382803
289	4.378758233
290	4.374702811
291	4.369193266
292	4.365667411
293	4.36259543
294	4.360228731
295	4.354915746
296	4.352789247
297	4.350849973
298	4.350330288
299	4.344011276
300	4.340869327
301	4.338299028
302	4.333653326
303	4.328523694
304	4.322306099
305	4.316978398
306	4.312522022
307	4.308730893
308	4.302111165
309	4.29685496
310	4.291847963
311	4.285841738
312	4.283295185
313	4.282967222
314	4.282160845
315	4.277422549
316	4.273421687
317	4.270335446
318	4.267030427
319	4.263465793
320	4.260697378
321	4.258522425
322	4.256656917
323	4.251194515
324	4.245633984
325	4.240522176
326	4.237896254
327	4.232287343
328	4.227732198
329	4.22535278
330	4.222277221
331	4.217818801
332	4.215363396
333	4.214339175
334	4.209773811
335	4.205900036
336	4.202314332
337	4.197403609
338	4.196671552
339	4.193055282
340	4.190798536
341	4.186259354
342	4.183261161
343	4.18281423
344	4.180990657
345	4.179483638
346	4.177710459
347	4.175561861
348	4.173389184
349	4.172898234
350	4.168098914
351	4.162404102
352	4.159738431
353	4.154947542
354	4.154023954
355	4.152433241
356	4.151682408
357	4.147713589
358	4.145650702
359	4.145208781
360	4.138605323
361	4.134973961
362	4.131802887
363	4.130230937
364	4.125735785
365	4.120576986
366	4.12023227
367	4.11861154
368	4.112433928
369	4.108496075
370	4.105142908
371	4.102687037
372	4.099937986
373	4.099571243
374	4.099290722
375	4.097570037
376	4.095388849
377	4.092617304
378	4.088700253
379	4.083105126
380	4.078251487
381	4.074908608
382	4.068502734
383	4.065193115
384	4.061530545
385	4.059732452
386	4.058726568
387	4.054772724
388	4.050998826
389	4.047371238
390	4.044900215
391	4.042443872
392	4.041824351
393	4.037021595
394	4.033002985
395	4.028039714
396	4.022829209
397	4.018175942
398	4.014428983
399	4.009215553
400	4.007762036
401	4.006013193
402	4.004397216
403	3.998742294
404	3.996582628
405	3.995597139
406	3.992223442
407	3.988118362
408	3.984814373
409	3.982435314
410	3.979117018
411	3.976927386
412	3.973746202
413	3.972074384
414	3.970015626
415	3.965822657
416	3.961123488
417	3.956146807
418	3.953087346
419	3.950059066
420	3.945629092
421	3.943310289
422	3.938552583
423	3.935606274
424	3.931493741
425	3.931021751
426	3.928350599
427	3.923675904
428	3.918991465
429	3.914755191
430	3.912690726
431	3.910370764
432	3.908297393
433	3.903475054
434	3.898755184
435	3.895886463
436	3.894488748
437	3.89125329
438	3.889251605
439	3.887316586
440	3.883319747
441	3.880497509
442	3.88004994
443	3.874454508
444	3.871776774
445	3.867491429
446	3.863184983
447	3.860083816
448	3.859700717
449	3.859190624
450	3.856916469
451	3.854479812
452	3.848487995
453	3.847815616
454	3.845877581
455	3.844193193
456	3.839353311
457	3.83521733
458	3.833443946
459	3.8329789
460	3.831370985
461	3.828299889
462	3.825072621
463	3.821959633
464	3.821533343
465	3.820695461
466	3.817538404
467	3.814062435
468	3.812773313
469	3.812451828
470	3.810772979
471	3.806798723
472	3.806371151
473	3.804636047
474	3.801227825
475	3.795903895
476	3.79263529
477	3.790597295
478	3.785521678
479	3.785194246
480	3.783523657
481	3.779192158
482	3.778087637
483	3.777271699
484	3.77166466
485	3.770257341
486	3.767127078
487	3.765138492
488	3.764589803
489	3.763345105
490	3.763099549
491	3.761751639
492	3.759536313
493	3.757468153
494	3.754878861
495	3.753880456
496	3.753667048
497	3.749820869
498	3.748665772
499	3.74559516
500	3.743174223
501	3.739330692
502	3.737629422
503	3.73313701
504	3.732193452
505	3.730824631
506	3.727314857
507	3.724737869
508	3.71937768
509	3.716999019
510	3.712080721
511	3.708600948
512	3.70599081
513	3.703214943
514	3.700731539
515	3.700475095
516	3.697704832
517	3.693655315
518	3.691368074
519	3.688490161
520	3.687389413
521	3.68611971
522	3.682849455
523	3.681162619
524	3.677898463
525	3.674486451
526	3.671841419
527	3.668639753
528	3.666120126
529	3.665261855
530	3.662326799
531	3.658995493
532	3.655855497
533	3.651481806
534	3.647569757
535	3.643552001
536	3.642084626
537	3.639119392
538	3.635097679
539	3.63295858
540	3.629825278
541	3.628870846
542	3.625492836
543	3.622797874
544	3.618463174
545	3.614898143
546	3.614441851
547	3.614137283
548	3.610616433
549	3.608198922
550	3.607270682
551	3.606428234
552	3.600644235
553	3.599695199
554	3.596005022
555	3.595529515
556	3.592687138
557	3.587696693
558	3.58342611
559	3.582868668
560	3.579531712
561	3.576350786
562	3.57219177
563	3.568627252
564	3.566702299
565	3.564019202
566	3.560009966
567	3.559557399
568	3.559212545
569	3.557292437
570	3.556835885
571	3.553013781
572	3.550470602
573	3.546859194
574	3.546555096
575	3.545387598
576	3.543405987
577	3.539302318
578	3.533867579
579	3.532600783
580	3.532369136
581	3.531245844
582	3.527820073
583	3.522790535
584	3.519048709
585	3.516099492
586	3.51318063
587	3.510374874
588	3.508548549
589	3.504408015
590	3.502122454
591	3.497438451
592	3.492736711
593	3.489175702
594	3.488060789
595	3.485468163
596	3.484419079
597	3.484136741
598	3.480942136
599	3.477715682
600	3.477331306
601	3.476426298
602	3.473095099
603	3.470877102
604	3.468047726
605	3.466864723
606	3.464324812
607	3.464055677
608	3.46391921
609	3.460627019
610	3.458429903
611	3.457455243
612	3.454911691
613	3.454660404
614	3.454127242
615	3.450688449
616	3.444937333
617	3.441229856
618	3.440133735
619	3.43640167
620	3.435085688
621	3.433233922
622	3.433041654
623	3.432298606
624	3.430528532
625	3.428136323
626	3.427730013
627	3.42530202
628	3.422626007
629	3.420326922
630	3.419911836
631	3.419606996
632	3.419429298
633	3.418261023
634	3.416667379
635	3.413879973
636	3.410088738
637	3.406762402
638	3.404300558
639	3.400666685
640	3.39604131
641	3.394456879
642	3.392251129
643	3.390819166
644	3.38818856
645	3.387670988
646	3.38513691
647	3.382119214
648	3.378757856
649	3.376449806
650	3.373573522
651	3.371691594
652	3.368852039
653	3.366722694
654	3.365301362
655	3.362708552
656	3.361643376
657	3.358928837
658	3.355807352
659	3.354605885
660	3.352417647
661	3.348223942
662	3.345841897
663	3.345668923
664	3.342147266
665	3.339012132
666	3.338086295
667	3.335985927
668	3.332374026
669	3.331333921
670	3.327839158
671	3.325664298
672	3.325478246
673	3.321822294
674	3.319897003
675	3.31709345
676	3.315009746
677	3.314846795
678	3.312909483
679	3.312626793
680	3.31233254
681	3.31064051
682	3.310388116
683	3.30757668
684	3.306893662
685	3.305802181
686	3.305051152
687	3.302644334
688	3.301269971
689	3.29880393
690	3.296486923
691	3.293835247
692	3.292972047
693	3.292778129
694	3.290272807
695	3.28925625
696	3.288181807
697	3.287876983
698	3.28696243
699	3.285223166
700	3.284745889
701	3.281572458
702	3.279767872
703	3.276224922
704	3.27505789
705	3.274232829
706	3.273844999
707	3.27113813
708	3.270854539
709	3.268834919
710	3.268339522
711	3.267492977
712	3.264827014
713	3.261438944
714	3.256735561
715	3.254159646
716	3.2540099
717	3.25157447
718	3.249525495
719	3.249361807
720	3.24730769
721	3.247129066
722	3.245192651
723	3.243637187
724	3.241172079
725	3.240156971
726	3.239321148
727	3.238362025
728	3.235689117
729	3.232159729
730	3.229941044
731	3.225293467
732	3.222681052
733	3.219883414
734	3.219746709
735	3.21863684
736	3.216957899
737	3.215441667
738	3.214782151
739	3.211918955
740	3.211604486
741	3.208334662
742	3.206232678
743	3.204274912
744	3.202469604
745	3.198137185
746	3.195310096
747	3.192754514
748	3.192423807
749	3.190506494
750	3.189563529
751	3.188029214
752	3.185835228
753	3.18315397
754	3.181246674
755	3.178313209
756	3.177609198
757	3.175209249
758	3.174980283
759	3.173677432
760	3.170536342
761	3.170015627
762	3.16791273
763	3.167154891
764	3.167009405
765	3.1647639
766	3.162723399
767	3.160797177
768	3.159878864
769	3.158337031
770	3.154804501
771	3.151563491
772	3.150749984
773	3.148470207
774	3.147466142
775	3.145641
776	3.143918293
777	3.143363825
778	3.142709232
779	3.141826149
780	3.141025031
781	3.14056609
782	3.139003849
783	3.134652521
784	3.134040856
785	3.133118643
786	3.130478095
787	3.129305862
788	3.127355012
789	3.12397979
790	3.12115925
791	3.119735405
792	3.119023433
793	3.117866561
794	3.114785404
795	3.113025422
796	3.109706774
797	3.108168413
798	3.107958923
799	3.10666666
800	3.103987096
801	3.102456101
802	3.100923579
803	3.099937484
804	3.09823416
805	3.096356755
806	3.094858924
807	3.092803055
808	3.090871327
809	3.088678266
810	3.086867181
811	3.085154349
812	3.084917757
813	3.084749462
814	3.08115734
815	3.080049662
816	3.077562295
817	3.075494303
818	3.072067478
819	3.068671878
820	3.065409343
821	3.063603517
822	3.061864702
823	3.059958903
824	3.057793435
825	3.056781839
826	3.055742238
827	3.055366216
828	3.054738284
829	3.052985501
830	3.052796762
831	3.050300102
832	3.048453635
833	3.045930266
834	3.043109864
835	3.041533649
836	3.038741297
837	3.036104837
838	3.035584908
839	3.032455959
840	3.030301634
841	3.029111643
842	3.028969616
843	3.027205639
844	3.026897795
845	3.026657264
846	3.024553503
847	3.024198668
848	3.020315649
849	3.020011526
850	3.018240839
851	3.017683077
852	3.01578627
853	3.015693998
854	3.015044991
855	3.012921112
856	3.009740736
857	3.009001533
858	3.008639256
859	3.007766712
860	3.006922927
861	3.004697581
862	3.003585669
863	3.00276314
864	3.00217962
865	3.001852571
866	2.999413196
867	2.998848724
868	2.997374633
869	2.994846603
870	2.990310807
871	2.990018942
872	2.988286766
873	2.986977399
874	2.986036879
875	2.985976092
876	2.985858973
877	2.983349496
878	2.982532684
879	2.98242432
880	2.979136375
881	2.97818571
882	2.976418633
883	2.976169825
884	2.97409888
885	2.972580958
886	2.971658699
887	2.97049151
888	2.968559783
889	2.967215778
890	2.965468195
891	2.962193545
892	2.958102218
893	2.955147141
894	2.950647252
895	2.948988859
896	2.947575454
897	2.946504233
898	2.944056888
899	2.94226425
900	2.940336988
901	2.937854167
902	2.93589781
903	2.931480944
904	2.931018763
905	2.929026983
906	2.928883135
907	2.928475496
908	2.926612179
909	2.926025698
910	2.923700213
911	2.919429418
912	2.918178412
913	2.915857334
914	2.914460705
915	2.913547881
916	2.912522511
917	2.910934414
918	2.910156423
919	2.909398733
920	2.909132335
921	2.907396703
922	2.907272431
923	2.906997164
924	2.906200675
925	2.903880452
926	2.903041918
927	2.902496388
928	2.90210986
929	2.900861146
930	2.897934777
931	2.896252496
932	2.895045478
933	2.89279875
934	2.889616474
935	2.888300492
936	2.888214569
937	2.886919856
938	2.886312671
939	2.884980234
940	2.882860289
941	2.882317358
942	2.879272516
943	2.877497383
944	2.875383434
945	2.871895445
946	2.871438302
947	2.870280891
948	2.868679987
949	2.868343212
950	2.865467324
951	2.864554399
952	2.862992615
953	2.86194235
954	2.861194682
955	2.859964872
956	2.859507502
957	2.857256275
958	2.856871785
959	2.855766381
960	2.853113481
961	2.85079845
962	2.849952856
963	2.847199971
964	2.846887309
965	2.84608097
966	2.844725951
967	2.844683795
968	2.843130248
969	2.843051983
970	2.842442281
971	2.839877778
972	2.839669363
973	2.838846701
974	2.836722204
975	2.835134987
976	2.834269553
977	2.832167462
978	2.831218539
979	2.83063429
980	2.829662773
981	2.828496374
982	2.826264361
983	2.82584453
984	2.822657999
985	2.821238677
986	2.819524639
987	2.816801632
988	2.816414542
989	2.814510658
990	2.814014955
991	2.811374301
992	2.808876886
993	2.808006991
994	2.806780168
995	2.805822998
996	2.804672869
997	2.801846984
998	2.798416344
999	2.796693874
